mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12270731925964355,0.03211422324412105,0.008176851272583007,0.0012384380615630527,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",0.8873944652908067,0.8872885338345864,0.8683333986441475,0.9,0.9187468260478925,0.8923526447634865,0.016627012931446278,18
0.19420480728149414,0.01074624379437074,0.01090397834777832,0.0009862641924281656,gini,5,100,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",0.9061950490406783,0.8873943827257079,0.8810222691871161,0.9062463377475684,0.9249882794186591,0.9011692636239459,0.0155822298965128,16
0.3859349250793457,0.026672129261067188,0.019725847244262695,0.0018073257911727122,gini,5,200,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 200}",0.9375,0.8936044577511643,0.8746867167919798,0.8999374609130708,0.9312258215778986,0.9073908914068227,0.023621366314593238,13
0.10171275138854981,0.0023850250073683657,0.0063607215881347655,0.00020167649334043968,gini,10,50,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 50}",0.9312097026298307,0.9186387029861844,0.9187214255011528,0.9374902328488826,0.9187468260478925,0.9249613780027885,0.007918934865090857,8
0.19585175514221193,0.009931592356072863,0.011626434326171876,0.0008085904777757661,gini,10,100,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100}",0.9437434079456228,0.9186387029861844,0.9186705767350929,0.9499921862791061,0.9249882794186591,0.931206630672933,0.013144133526489757,2
0.38040666580200194,0.01588305541947208,0.018221426010131835,0.00039967256106893107,gini,10,200,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 200}",0.9437434079456228,0.9061215803686743,0.887218045112782,0.943747802648541,0.9374902328488826,0.9236642137849005,0.02295103736652412,9
0.0945037841796875,0.0032583115279696045,0.006594181060791016,0.0009319009392643455,gini,,50,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 50}",0.9374804656977652,0.9062536622524318,0.9311827956989248,0.9187214255011528,0.9187468260478925,0.9224770350396334,0.010882188078602044,10
0.18649959564208984,0.0070200708096062,0.010735034942626953,0.000731921832434392,gini,,100,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 100}",0.9437434079456228,0.9124726391494684,0.912445278298937,0.9499921862791061,0.9374902328488826,0.9312287489044033,0.01582719100374368,1
0.3723513126373291,0.00889885024670827,0.018943262100219727,0.0007014494438019719,gini,,200,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 200}",0.95,0.9061215803686743,0.8873415740885621,0.9499921862791061,0.9374902328488826,0.926189114717045,0.025191653746751363,7
0.09589972496032714,0.002699811222472008,0.005989837646484375,0.000315771683127902,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",0.899906191369606,0.8936876832844576,0.8935462408516301,0.8937458494472441,0.8999843725582121,0.89617406750223,0.0030799673857893495,17
0.1927946090698242,0.008493507708973981,0.009911489486694337,0.0004904404598020172,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",0.9187023758352545,0.8999061179784071,0.8810222691871161,0.906217029424407,0.912445278298937,0.9036586141448243,0.012934844892937536,15
0.3989116191864014,0.013394552719974227,0.02531275749206543,0.012338387895985063,entropy,5,200,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 200}",0.9187023758352545,0.8999061179784071,0.887218045112782,0.8999843725582121,0.9187214255011528,0.9049064673971617,0.012192546509003456,14
0.11769371032714844,0.011875523003440426,0.008805322647094726,0.002427584563452233,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",0.9249765588373183,0.8999687304565352,0.8870588235294118,0.9312473143482167,0.9374902328488826,0.9161483320040729,0.019335835115412793,12
0.23756999969482423,0.019488955384951753,0.010639190673828125,0.0003222354241804121,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0.95,0.9124178532311061,0.8997493734335841,0.943747802648541,0.9374902328488826,0.9286810524324227,0.019290618678659797,4
0.5456558227539062,0.07342238327815748,0.027423095703125,0.011055078292236085,entropy,10,200,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 200}",0.95,0.9249295884838051,0.8934127512833575,0.943747802648541,0.9312473143482167,0.9286674913527839,0.019728232641922028,5
0.1358522891998291,0.019957161421950493,0.006851720809936524,0.0006240483481356146,entropy,,50,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}",0.925,0.9125,0.9060702125161442,0.9312258215778986,0.9374902328488826,0.9224572533885851,0.011636372488656135,11
0.2439551830291748,0.021554784069310395,0.011145210266113282,0.0008444933968083057,entropy,,100,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.9437434079456228,0.9124726391494684,0.8997493734335841,0.9374902328488826,0.9374902328488826,0.926189177245288,0.017033997616103587,6
0.46616296768188475,0.015748000709043145,0.018929243087768555,0.0005774559608149573,entropy,,200,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}",0.943752197351459,0.9187023460410557,0.9060702125161442,0.9374902328488826,0.9374902328488826,0.9287010443212849,0.014093724794933767,3
