mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04235019683837891,0.0110446935881194,0.016163158416748046,0.003320240472374341,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.925,0.8996862745098039,0.9059524276029624,0.9123767798466593,0.8999843725582121,0.9085999709035276,0.009422496950742066,5
0.019743919372558594,0.0065082862475495905,0.006843757629394531,0.004611481739624487,0.1,scale,linear,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8562331483724748,0.8177308206519601,0.8178892421209623,0.8748239712095133,0.8248905565978737,0.8383135477905569,0.023130502434459847,11
0.019772768020629883,0.007214465060474258,0.0072766304016113285,0.0020357380818304405,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.925,0.8996862745098039,0.9059524276029624,0.9123767798466593,0.8999843725582121,0.9085999709035276,0.009422496950742066,5
0.012034988403320313,0.002148875944154946,0.004462385177612304,0.002766846517918481,0.1,auto,linear,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.8562331483724748,0.8177308206519601,0.8178892421209623,0.8748239712095133,0.8248905565978737,0.8383135477905569,0.023130502434459847,11
0.01995716094970703,0.006749350197038839,0.010428810119628906,0.006870280816968446,1.0,scale,rbf,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.9625,0.9184342988343343,0.9312473143482167,0.95,0.9312258215778986,0.9386814869520899,0.01559636365683395,3
0.021519994735717772,0.008103106965989619,0.003036785125732422,0.00022761537925306843,1.0,scale,linear,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'linear'}",0.85,0.8303011088828594,0.81203007518797,0.8811339198435973,0.8311906529639327,0.840931151375672,0.023416463974614284,7
0.014089155197143554,0.008966095965880987,0.008256769180297852,0.004388243225520356,1.0,auto,rbf,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.9625,0.9184342988343343,0.9312473143482167,0.95,0.9312258215778986,0.9386814869520899,0.01559636365683395,3
0.018665885925292967,0.0025748508435075334,0.003113460540771484,0.0003443680651855399,1.0,auto,linear,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'linear'}",0.85,0.8303011088828594,0.81203007518797,0.8811339198435973,0.8311906529639327,0.840931151375672,0.023416463974614284,7
0.010649585723876953,0.0011877446848312094,0.004424953460693359,0.0004724900119596422,10.0,scale,rbf,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.9562448712437966,0.9499843652282676,0.9249882794186591,0.95,0.9249882794186591,0.9412411590618766,0.013465396550262335,2
0.07676987648010254,0.007158448980319469,0.003364849090576172,0.0005958088095920515,10.0,scale,linear,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'linear'}",0.8562556154537286,0.8241750471401634,0.8056350170461226,0.8748239712095133,0.8311906529639327,0.838416060762692,0.024386043011039304,9
0.010828924179077149,0.0014793172346340721,0.004120540618896484,0.0005551612814772331,10.0,auto,rbf,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.9562448712437966,0.9499843652282676,0.9249882794186591,0.95,0.9312473143482167,0.9424929660477881,0.012119985586567633,1
0.07915902137756348,0.006323271836210508,0.0029534816741943358,0.00021363988452358204,10.0,auto,linear,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'linear'}",0.8562556154537286,0.8241750471401634,0.8056350170461226,0.8748239712095133,0.8311906529639327,0.838416060762692,0.024386043011039304,9
